recall_floor,threshold,precision,recall,scorer
0.5,0.9984642577471294,0.9872900590104403,0.5117647058823529,ml_model
0.6,0.9968375272773525,0.9676098287416233,0.6115294117647059,ml_model
0.7,0.9956151431776307,0.9582278481012658,0.7124705882352941,ml_model
0.8,0.9918434644752443,0.9289811526905217,0.800235294117647,ml_model
0.9,0.983556245708557,0.8567912284627434,0.9009411764705882,ml_model
0.95,0.9772003248014707,0.8051302445814277,0.9527058823529412,ml_model
0.99,0.9414456351299714,0.7261596827039145,0.9908235294117647,ml_model
0.5,1.0,0.04445988880063542,0.5268235294117647,rule_engine
0.6,0.9393852677716427,0.02917228918418224,0.6002352941176471,rule_engine
0.7,0.8849759131323507,0.0206324987863236,0.7,rule_engine
0.8,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.9,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.95,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.99,0.5,0.011901249968392572,0.9967058823529412,rule_engine
0.5,0.9990155155224789,0.9834862385321101,0.5044705882352941,hybrid_avg
0.6,0.9659237394826045,0.9362870743317466,0.6016470588235294,hybrid_avg
0.7,0.9382929431614633,0.8770636792452831,0.7,hybrid_avg
0.8,0.9172985347646972,0.8130528328950514,0.800235294117647,hybrid_avg
0.9,0.9015980369123452,0.7780716029292107,0.9,hybrid_avg
0.95,0.8914575472211581,0.7313892410795145,0.9501176470588235,hybrid_avg
0.99,0.749902701825214,0.5342777637237541,0.9938823529411764,hybrid_avg
