recall_floor,threshold,precision,recall,scorer
0.5,0.9986423468717052,1.0,0.7112941176470589,ml_model
0.6,0.9986423468717052,1.0,0.7112941176470589,ml_model
0.7,0.9986423468717052,1.0,0.7112941176470589,ml_model
0.8,0.988320007561876,0.9709567198177677,0.8023529411764706,ml_model
0.9,0.9699878337130022,0.849345462613712,0.9007058823529411,ml_model
0.95,0.96171277223417,0.7810868304003095,0.9503529411764706,ml_model
0.99,0.9201728335523337,0.6839454013649658,0.9903529411764705,ml_model
0.5,1.0,0.04445988880063542,0.5268235294117647,rule_engine
0.6,0.9393852677716427,0.02917228918418224,0.6002352941176471,rule_engine
0.7,0.8849759131323507,0.0206324987863236,0.7,rule_engine
0.8,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.9,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.95,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.99,0.5,0.011901249968392572,0.9967058823529412,rule_engine
0.5,0.9978551143861829,0.9957963568425969,0.5016470588235294,hybrid_avg
0.6,0.967289537156987,0.9215757137694254,0.6,hybrid_avg
0.7,0.9366082062503505,0.8719601523586288,0.7002352941176471,hybrid_avg
0.8,0.915362377221342,0.8117843511450382,0.8007058823529412,hybrid_avg
0.9,0.8974252263541144,0.7627118644067796,0.9,hybrid_avg
0.95,0.883330844721707,0.7001907404196289,0.9501176470588235,hybrid_avg
0.99,0.7494002958493844,0.45623113410953,0.995764705882353,hybrid_avg
