recall_floor,threshold,precision,recall,scorer
0.5,0.5753543418222574,0.006023754361223798,0.7738823529411765,ml_model
0.6,0.5753543418222574,0.006023754361223798,0.7738823529411765,ml_model
0.7,0.5753543418222574,0.006023754361223798,0.7738823529411765,ml_model
0.8,0.5300799258972366,0.0058659015590676634,0.8004705882352942,ml_model
0.9,0.31315950582195035,0.005010332337203486,0.900235294117647,ml_model
0.95,0.25165156733595107,0.004435023284421404,0.9501176470588235,ml_model
0.99,0.1379726718876833,0.003966122078896423,0.9901176470588235,ml_model
0.5,1.0,0.04445988880063542,0.5268235294117647,rule_engine
0.6,0.9393852677716427,0.02917228918418224,0.6002352941176471,rule_engine
0.7,0.8849759131323507,0.0206324987863236,0.7,rule_engine
0.8,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.9,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.95,0.8000652591768481,0.017451600893521966,0.9705882352941176,rule_engine
0.99,0.5,0.011901249968392572,0.9967058823529412,rule_engine
0.5,0.7760757120136376,0.05771006463527239,0.5,hybrid_avg
0.6,0.7358237689732835,0.0393154486586494,0.6,hybrid_avg
0.7,0.7101767679363935,0.030932229823868243,0.7,hybrid_avg
0.8,0.6878904099757039,0.03083951510765334,0.8021176470588235,hybrid_avg
0.9,0.5856085240375931,0.02021129510601695,0.9011764705882352,hybrid_avg
0.95,0.5376771709111288,0.013868600826515982,0.9672941176470589,hybrid_avg
0.99,0.4716507191619898,0.01293714355986657,0.9901176470588235,hybrid_avg
